"country","category","movie","total_revenue"
"Afghanistan","Action","Park Citizen","8.99"
"Afghanistan","Animation","Storm Happiness","0.99"
"Afghanistan","Children","Shepherd Midsummer","0.99"
"Afghanistan","Classics","Hope Tootsie","6.99"
"Afghanistan","Classics","Jerk Paycheck","5.99"
"Afghanistan","Comedy","Downhill Enough","0.99"
"Afghanistan","Comedy","Lonely Elephant","2.99"
"Afghanistan","Comedy","Saturn Name","4.99"
"Afghanistan","Documentary","Pocus Pulp","0.99"
"Afghanistan","Documentary","Streak Ridgemont","0.99"
"Afghanistan","Drama","Queen Luke","6.99"
"Afghanistan","Drama","Translation Summer","0.99"
"Afghanistan","Foreign","Illusion Amelie","0.99"
"Afghanistan","Games","Haunting Pianist","2.99"
"Afghanistan","New","Butterfly Chocolat","6.99"
"Afghanistan","New","Mask Peach","5.99"
"Afghanistan","Sci-Fi","Disturbing Scarface","2.99"
"Afghanistan","Travel","Born Spinal","4.99"
"Algeria","Action","Excitement Eve","0.99"
"Algeria","Action","Kissing Dolls","4.99"
"Algeria","Action","Lord Arizona","3.99"
"Algeria","Action","Patriot Roman","4.99"
"Algeria","Action","Quest Mussolini","2.99"
"Algeria","Animation","Carol Texas","6.99"
"Algeria","Animation","Dogma Family","7.99"
"Algeria","Animation","Flying Hook","2.99"
"Algeria","Animation","Horn Working","2.99"
"Algeria","Animation","Nash Chocolat","5.99"
"Algeria","Animation","Pond Seattle","2.99"
"Algeria","Animation","Wonka Sea","2.99"
"Algeria","Children","Bear Graceland","2.99"
"Algeria","Children","Fury Murder","5.99"
"Algeria","Children","Ghost Groundhog","4.99"
"Algeria","Children","Santa Paris","2.99"
"Algeria","Children","Scarface Bang","5.99"
"Algeria","Children","Sweethearts Suspects","0.99"
"Algeria","Children","Tootsie Pilot","0.99"
"Algeria","Classics","Detective Vision","0.99"
"Algeria","Classics","Galaxy Sweethearts","5.99"
"Algeria","Classics","Summer Scarface","0.99"
"Algeria","Comedy","Gold River","4.99"
"Algeria","Comedy","Groundhog Uncut","4.99"
"Algeria","Comedy","Memento Zoolander","8.99"
"Algeria","Comedy","Pure Runner","6.99"
"Algeria","Comedy","Saturn Name","4.99"
"Algeria","Comedy","Snatch Slipper","7.99"
"Algeria","Comedy","Zorro Ark","10.99"
"Algeria","Documentary","Army Flintstones","6.99"
"Algeria","Documentary","Bonnie Holocaust","4.99"
"Algeria","Documentary","Cupboard Sinners","2.99"
"Algeria","Drama","Coneheads Smoochy","6.99"
"Algeria","Drama","Darkness War","4.99"
"Algeria","Drama","Hanging Deep","7.99"
"Algeria","Drama","Sea Virgin","2.99"
"Algeria","Drama","Shootist Superfly","0.99"
"Algeria","Family","Effect Gladiator","2.99"
"Algeria","Family","Movie Shakespeare","6.99"
"Algeria","Family","Network Peak","3.99"
"Algeria","Family","Pilot Hoosiers","5.99"
"Algeria","Family","Rage Games","8.99"
"Algeria","Foreign","Cowboy Doom","4.99"
"Algeria","Foreign","Madness Attacks","1.99"
"Algeria","Foreign","Moon Bunch","1.99"
"Algeria","Foreign","Shock Cabin","4.99"
"Algeria","Games","Curtain Videotape","0.99"
"Algeria","Games","Encino Elf","0.99"
"Algeria","Games","Grit Clockwork","3.99"
"Algeria","Games","Wind Phantom","3.99"
"Algeria","Horror","Pulp Beverly","5.99"
"Algeria","Music","Go Purple","1.99"
"Algeria","Music","Grosse Wonderful","4.99"
"Algeria","Music","Monster Spartacus","2.99"
"Algeria","New","Attraction Newton","4.99"
"Algeria","New","Boulevard Mob","1.99"
"Algeria","New","Eagles Panky","4.99"
"Algeria","New","Godfather Diary","4.99"
"Algeria","New","Jungle Closer","1.99"
"Algeria","New","Money Harold","3.99"
"Algeria","New","Redemption Comforts","2.99"
"Algeria","New","Run Pacific","2.99"
"Algeria","New","Samurai Lion","2.99"
"Algeria","Sci-Fi","Chainsaw Uptown","2.99"
"Algeria","Sci-Fi","Coldblooded Darling","4.99"
"Algeria","Sci-Fi","Disturbing Scarface","2.99"
"Algeria","Sci-Fi","Dolls Rage","2.99"
