"country","actor","total_revenue"
"Afghanistan","River Dean","16.97"
"Afghanistan","Nick Stallone","11.98"
"Afghanistan","Dan Torn","11.98"
"Afghanistan","Rita Reynolds","10.98"
"Afghanistan","Oprah Kilmer","9.98"
"Afghanistan","Groucho Dunst","9.98"
"Afghanistan","Mary Keitel","9.98"
"Afghanistan","Ewan Gooding","9.98"
"Afghanistan","Penelope Monroe","8.99"
"Afghanistan","Al Garland","8.99"
"Afghanistan","Michael Bening","8.99"
"Afghanistan","Kenneth Paltrow","8.97"
"Afghanistan","Angelina Astaire","7.98"
"Afghanistan","Ed Guiness","6.99"
"Afghanistan","Spencer Peck","6.99"
"Afghanistan","Kim Allen","6.99"
"Afghanistan","Renee Tracy","6.99"
"Afghanistan","Jane Jackman","6.99"
"Afghanistan","Mena Temple","6.99"
"Afghanistan","Burt Temple","6.99"
"Afghanistan","Greg Chaplin","6.99"
"Afghanistan","Rip Winslet","6.99"
"Afghanistan","Mary Tandy","6.99"
"Afghanistan","Julia Fawcett","6.99"
"Afghanistan","Lisa Monroe","6.99"
"Afghanistan","Jayne Silverstone","6.99"
"Afghanistan","Woody Jolie","6.98"
"Afghanistan","Laura Brody","6.98"
"Afghanistan","Sean Guiness","6.97"
"Afghanistan","Burt Dukakis","5.99"
"Afghanistan","Renee Ball","5.99"
"Afghanistan","Meg Hawke","5.99"
"Afghanistan","Bela Walken","5.99"
"Afghanistan","Julia Barrymore","5.99"
"Afghanistan","Nick Wahlberg","5.99"
"Afghanistan","Reese Kilmer","5.99"
"Afghanistan","Sidney Crowe","5.99"
"Afghanistan","Gary Penn","5.99"
"Afghanistan","Lucille Dee","5.99"
"Afghanistan","Chris Depp","5.99"
"Afghanistan","Warren Nolte","5.99"
"Afghanistan","Milla Keitel","5.99"
"Afghanistan","Jeff Silverstone","5.99"
"Afghanistan","Meryl Allen","5.98"
"Afghanistan","Charlize Dench","5.98"
"Afghanistan","Sissy Sobieski","4.99"
"Afghanistan","Dan Streep","4.99"
"Afghanistan","Dustin Tautou","4.99"
"Afghanistan","Kirsten Paltrow","4.99"
"Afghanistan","Chris Bridges","4.99"
"Afghanistan","Ray Johansson","4.99"
"Afghanistan","Rock Dukakis","3.98"
"Afghanistan","Ben Willis","3.98"
"Afghanistan","Julianne Dench","3.98"
"Afghanistan","Val Bolger","2.99"
"Afghanistan","Kenneth Pesci","2.99"
"Afghanistan","Groucho Williams","2.99"
"Afghanistan","Audrey Bailey","2.99"
"Afghanistan","Rip Crawford","2.99"
"Afghanistan","Walter Torn","2.99"
"Afghanistan","Alan Dreyfuss","2.99"
"Afghanistan","Jayne Neeson","2.99"
"Afghanistan","Greta Malden","2.99"
"Afghanistan","James Pitt","2.99"
"Afghanistan","Tom Miranda","1.98"
"Afghanistan","Daryl Crawford","1.98"
"Afghanistan","Ian Tandy","0.99"
"Afghanistan","Johnny Lollobrigida","0.99"
"Afghanistan","Daryl Wahlberg","0.99"
"Afghanistan","Morgan Mcdormand","0.99"
"Afghanistan","Olympia Pfeiffer","0.99"
"Afghanistan","Ralph Cruz","0.99"
"Afghanistan","Gregory Gooding","0.99"
"Afghanistan","Richard Penn","0.99"
"Afghanistan","Harvey Hope","0.99"
"Afghanistan","Sylvester Dern","0.99"
"Afghanistan","Warren Jackman","0.99"
"Afghanistan","Sandra Kilmer","0.99"
"Afghanistan","Humphrey Garland","0.99"
"Afghanistan","Greta Keitel","0.99"
"Afghanistan","Kenneth Hoffman","0.99"
"Afghanistan","Gina Degeneres","0.99"
"Afghanistan","Gene Willis","0.99"
"Afghanistan","Cate Harris","0.99"
"Afghanistan","Matthew Carrey","0.99"
"Afghanistan","Christopher Berry","0.99"
"Algeria","Gina Degeneres","32.94"
"Algeria","Julia Mcqueen","30.93"
"Algeria","Kevin Garland","26.96"
"Algeria","Susan Davis","25.94"
"Algeria","Albert Nolte","23.96"
"Algeria","Henry Berry","21.96"
"Algeria","Richard Penn","21.96"
"Algeria","Scarlett Damon","21.95"
"Algeria","Lisa Monroe","20.97"
"Algeria","Ian Tandy","20.97"
"Algeria","Angelina Astaire","20.95"
"Algeria","Cameron Streep","19.96"
"Algeria","Renee Ball","19.96"
"Algeria","Ben Willis","19.95"
"Algeria","Debbie Akroyd","18.96"
"Algeria","Vivien Basinger","18.96"
"Algeria","Ed Chase","17.97"
"Algeria","Fred Costner","17.97"
"Algeria","Kirk Jovovich","17.97"
"Algeria","River Dean","17.97"
"Algeria","Kirsten Akroyd","17.96"
"Algeria","Jada Ryder","17.96"
"Algeria","Cameron Zellweger","16.97"
"Algeria","Groucho Dunst","16.97"
"Algeria","Chris Bridges","16.97"
"Algeria","Angela Witherspoon","16.96"
"Algeria","Humphrey Garland","16.96"
"Algeria","Dustin Tautou","16.96"
"Algeria","Morgan Williams","16.96"
"Algeria","Scarlett Bening","15.97"
"Algeria","Uma Wood","15.97"
"Algeria","Laura Brody","15.97"
"Algeria","Gene Willis","15.97"
"Algeria","Russell Temple","15.96"
"Algeria","Julia Barrymore","15.96"
"Algeria","Mae Hoffman","15.96"
"Algeria","Renee Tracy","14.97"
"Algeria","Milla Keitel","14.97"
"Algeria","Ben Harris","14.97"
"Algeria","Gary Phoenix","14.97"
"Algeria","Johnny Lollobrigida","14.97"
"Algeria","Sidney Crowe","14.97"
"Algeria","Sean Guiness","14.96"
"Algeria","Kenneth Paltrow","14.96"
"Algeria","Alec Wayne","14.96"
"Algeria","Ed Guiness","14.96"
"Algeria","Groucho Williams","13.98"
"Algeria","Nick Degeneres","13.98"
"Algeria","Johnny Cage","13.97"
"Algeria","Gene Mckellen","13.97"
"Algeria","Gary Penn","13.96"
"Algeria","Rita Reynolds","12.98"
"Algeria","Bela Walken","12.98"
"Algeria","Rip Winslet","12.98"
"Algeria","Thora Temple","12.98"
"Algeria","Christopher West","12.98"
"Algeria","Penelope Cronyn","12.97"
"Algeria","Russell Bacall","12.97"
"Algeria","John Suvari","12.97"
"Algeria","Olympia Pfeiffer","12.97"
"Algeria","Warren Jackman","12.97"
"Algeria","Geoffrey Heston","12.96"
"Algeria","Groucho Sinatra","11.98"
"Algeria","Oprah Kilmer","11.98"
"Algeria","Jessica Bailey","11.98"
"Algeria","Jim Mostel","11.97"
"Algeria","Greta Keitel","11.97"
"Algeria","Julianne Dench","11.97"
"Algeria","Audrey Olivier","11.97"
"Algeria","Whoopi Hurt","10.98"
"Algeria","Mary Keitel","10.98"
"Algeria","Reese West","10.98"
"Algeria","Rock Dukakis","10.98"
"Algeria","Cate Mcqueen","10.98"
"Algeria","Fay Kilmer","10.97"
"Algeria","Jude Cruise","10.97"
"Algeria","Kirsten Paltrow","10.97"
"Algeria","Helen Voight","10.97"
"Algeria","Ellen Presley","9.98"
"Algeria","Cary Mcconaughey","9.98"
"Algeria","Frances Day-Lewis","9.97"
"Algeria","Cate Harris","9.97"
"Algeria","Sylvester Dern","9.97"
"Algeria","Frances Tomei","9.97"
"Algeria","Zero Cage","9.96"
"Algeria","Cameron Wray","8.99"
"Algeria","Tom Miranda","8.99"
"Algeria","Judy Dean","8.98"
"Algeria","Charlize Dench","8.98"
"Algeria","Parker Goldberg","8.98"
"Algeria","Woody Jolie","8.98"
"Algeria","Audrey Bailey","8.98"
"Algeria","Spencer Peck","8.98"
"Algeria","Emily Dee","8.98"
"Algeria","Greta Malden","8.98"
"Algeria","Minnie Zellweger","8.97"
"Algeria","Dan Harris","8.97"
"Algeria","Dan Streep","8.97"
"Algeria","Kenneth Torn","8.97"
"Algeria","Meryl Gibson","7.99"
"Algeria","Matthew Johansson","7.99"
"Algeria","Greg Chaplin","7.98"
"Algeria","Tim Hackman","7.98"
"Algeria","Jayne Neeson","7.98"
"Algeria","Russell Close","7.98"
"Algeria","Albert Johansson","7.98"
"Algeria","Ed Mansfield","7.98"
"Algeria","Kim Allen","7.98"
"Algeria","Burt Dukakis","7.97"
"Algeria","Nick Stallone","7.96"
"Algeria","Dan Torn","6.99"
"Algeria","Matthew Carrey","6.99"
"Algeria","Milla Peck","6.99"
"Algeria","Rip Crawford","6.98"
"Algeria","Lucille Tracy","6.98"
"Algeria","Christian Gable","6.98"
"Algeria","Woody Hoffman","6.98"
"Algeria","Gene Hopkins","6.97"
"Algeria","Warren Nolte","5.99"
"Algeria","Karl Berry","5.99"
"Algeria","Harrison Bale","5.99"
"Algeria","Spencer Depp","5.99"
"Algeria","Angela Hudson","5.99"
"Algeria","Goldie Brody","5.98"
"Algeria","Will Wilson","5.98"
"Algeria","Kenneth Pesci","5.98"
"Algeria","Cuba Allen","4.99"
"Algeria","Fay Winslet","4.99"
"Algeria","Burt Temple","4.99"
"Algeria","Carmen Hunt","4.99"
"Algeria","Adam Grant","4.99"
"Algeria","Tom Mckellen","4.99"
"Algeria","Gregory Gooding","4.99"
"Algeria","Bette Nicholson","4.99"
